"TIME","PARTNER","UNIT","PURPOSE","DURATION","GEO","Value","Flag and Footnotes"
"2010","Europe","Number","Total","1 night or over","Croatia",":",""
"2010","Europe","Number","Total","1 night or over","Slovenia",":",""
"2010","Europe","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Europe","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Europe","Number","Total","4 nights or over","Croatia",":",""
"2010","Europe","Number","Total","4 nights or over","Slovenia",":",""
"2010","Europe","Number","Personal reasons","1 night or over","Croatia",":",""
"2010","Europe","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","Europe","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2010","Europe","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","Europe","Number","Personal reasons","4 nights or over","Croatia",":",""
"2010","Europe","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2010","Europe","Number","Professional, business","1 night or over","Croatia",":",""
"2010","Europe","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","Europe","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Europe","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Europe","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Europe","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Croatia","258,212",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Slovenia","127,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Croatia","221,609",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Slovenia","37,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Croatia","42,438",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Slovenia","23,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Croatia","179,171",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Slovenia",":","u"
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Croatia","36,603",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Slovenia","90,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Croatia","Number","Total","1 night or over","Croatia",":",""
"2010","Croatia","Number","Total","1 night or over","Slovenia",":",""
"2010","Croatia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Croatia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Croatia","Number","Total","4 nights or over","Croatia",":",""
"2010","Croatia","Number","Total","4 nights or over","Slovenia",":",""
"2010","Croatia","Number","Personal reasons","1 night or over","Croatia",":",""
"2010","Croatia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","Croatia","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2010","Croatia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","Croatia","Number","Personal reasons","4 nights or over","Croatia",":",""
"2010","Croatia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2010","Croatia","Number","Professional, business","1 night or over","Croatia",":",""
"2010","Croatia","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","Croatia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Croatia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Croatia","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Croatia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Italy","Number","Total","1 night or over","Croatia","172,947",""
"2010","Italy","Number","Total","1 night or over","Slovenia","195,000",""
"2010","Italy","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Italy","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Italy","Number","Total","4 nights or over","Croatia",":",""
"2010","Italy","Number","Total","4 nights or over","Slovenia",":",""
"2010","Italy","Number","Personal reasons","1 night or over","Croatia","143,997",""
"2010","Italy","Number","Personal reasons","1 night or over","Slovenia","144,000",""
"2010","Italy","Number","Personal reasons","From 1 to 3 nights","Croatia","66,202",""
"2010","Italy","Number","Personal reasons","From 1 to 3 nights","Slovenia","88,000",""
"2010","Italy","Number","Personal reasons","4 nights or over","Croatia","77,795",""
"2010","Italy","Number","Personal reasons","4 nights or over","Slovenia","56,000",""
"2010","Italy","Number","Professional, business","1 night or over","Croatia","28,950",""
"2010","Italy","Number","Professional, business","1 night or over","Slovenia","51,000",""
"2010","Italy","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Italy","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Italy","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Italy","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Slovenia","Number","Total","1 night or over","Croatia","148,668",""
"2010","Slovenia","Number","Total","1 night or over","Slovenia",":",""
"2010","Slovenia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Slovenia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Slovenia","Number","Total","4 nights or over","Croatia",":",""
"2010","Slovenia","Number","Total","4 nights or over","Slovenia",":",""
"2010","Slovenia","Number","Personal reasons","1 night or over","Croatia","139,810",""
"2010","Slovenia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","Slovenia","Number","Personal reasons","From 1 to 3 nights","Croatia","88,527",""
"2010","Slovenia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","Slovenia","Number","Personal reasons","4 nights or over","Croatia","51,283",""
"2010","Slovenia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2010","Slovenia","Number","Professional, business","1 night or over","Croatia","8,858",""
"2010","Slovenia","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","Slovenia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Slovenia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Slovenia","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Slovenia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","All countries of the world","Number","Total","1 night or over","Croatia",":",""
"2010","All countries of the world","Number","Total","1 night or over","Slovenia",":",""
"2010","All countries of the world","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","All countries of the world","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","All countries of the world","Number","Total","4 nights or over","Croatia",":",""
"2010","All countries of the world","Number","Total","4 nights or over","Slovenia",":",""
"2010","All countries of the world","Number","Personal reasons","1 night or over","Croatia",":",""
"2010","All countries of the world","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2010","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","All countries of the world","Number","Personal reasons","4 nights or over","Croatia","3,509,254",""
"2010","All countries of the world","Number","Personal reasons","4 nights or over","Slovenia","1,677,000",""
"2010","All countries of the world","Number","Professional, business","1 night or over","Croatia",":",""
"2010","All countries of the world","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","All countries of the world","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","All countries of the world","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","All countries of the world","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","All countries of the world","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Europe","Number","Total","1 night or over","Croatia",":",""
"2011","Europe","Number","Total","1 night or over","Slovenia",":",""
"2011","Europe","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Europe","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Europe","Number","Total","4 nights or over","Croatia",":",""
"2011","Europe","Number","Total","4 nights or over","Slovenia",":",""
"2011","Europe","Number","Personal reasons","1 night or over","Croatia",":",""
"2011","Europe","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","Europe","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2011","Europe","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","Europe","Number","Personal reasons","4 nights or over","Croatia",":",""
"2011","Europe","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2011","Europe","Number","Professional, business","1 night or over","Croatia",":",""
"2011","Europe","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","Europe","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Europe","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Europe","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Europe","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Croatia","279,343",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Slovenia","114,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Croatia","184,487",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Slovenia","58,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Croatia","60,886",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Slovenia","38,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Croatia","123,601",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Slovenia","20,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Croatia","94,856",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Slovenia","56,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Croatia","Number","Total","1 night or over","Croatia",":",""
"2011","Croatia","Number","Total","1 night or over","Slovenia",":",""
"2011","Croatia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Croatia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Croatia","Number","Total","4 nights or over","Croatia",":",""
"2011","Croatia","Number","Total","4 nights or over","Slovenia",":",""
"2011","Croatia","Number","Personal reasons","1 night or over","Croatia",":",""
"2011","Croatia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","Croatia","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2011","Croatia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","Croatia","Number","Personal reasons","4 nights or over","Croatia",":",""
"2011","Croatia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2011","Croatia","Number","Professional, business","1 night or over","Croatia",":",""
"2011","Croatia","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","Croatia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Croatia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Croatia","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Croatia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Italy","Number","Total","1 night or over","Croatia","282,557",""
"2011","Italy","Number","Total","1 night or over","Slovenia","158,000",""
"2011","Italy","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Italy","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Italy","Number","Total","4 nights or over","Croatia",":",""
"2011","Italy","Number","Total","4 nights or over","Slovenia",":",""
"2011","Italy","Number","Personal reasons","1 night or over","Croatia","181,553",""
"2011","Italy","Number","Personal reasons","1 night or over","Slovenia","122,000",""
"2011","Italy","Number","Personal reasons","From 1 to 3 nights","Croatia","94,285",""
"2011","Italy","Number","Personal reasons","From 1 to 3 nights","Slovenia","51,000",""
"2011","Italy","Number","Personal reasons","4 nights or over","Croatia","87,268",""
"2011","Italy","Number","Personal reasons","4 nights or over","Slovenia","71,000",""
"2011","Italy","Number","Professional, business","1 night or over","Croatia","101,004",""
"2011","Italy","Number","Professional, business","1 night or over","Slovenia","36,000",""
"2011","Italy","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Italy","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Italy","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Italy","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Slovenia","Number","Total","1 night or over","Croatia","312,494",""
"2011","Slovenia","Number","Total","1 night or over","Slovenia",":",""
"2011","Slovenia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Slovenia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Slovenia","Number","Total","4 nights or over","Croatia",":",""
"2011","Slovenia","Number","Total","4 nights or over","Slovenia",":",""
"2011","Slovenia","Number","Personal reasons","1 night or over","Croatia","212,660",""
"2011","Slovenia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","Slovenia","Number","Personal reasons","From 1 to 3 nights","Croatia","147,626",""
"2011","Slovenia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","Slovenia","Number","Personal reasons","4 nights or over","Croatia","65,034",""
"2011","Slovenia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2011","Slovenia","Number","Professional, business","1 night or over","Croatia","99,834",""
"2011","Slovenia","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","Slovenia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Slovenia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Slovenia","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Slovenia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","All countries of the world","Number","Total","1 night or over","Croatia",":",""
"2011","All countries of the world","Number","Total","1 night or over","Slovenia",":",""
"2011","All countries of the world","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","All countries of the world","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","All countries of the world","Number","Total","4 nights or over","Croatia",":",""
"2011","All countries of the world","Number","Total","4 nights or over","Slovenia",":",""
"2011","All countries of the world","Number","Personal reasons","1 night or over","Croatia",":",""
"2011","All countries of the world","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2011","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","All countries of the world","Number","Personal reasons","4 nights or over","Croatia","3,180,916",""
"2011","All countries of the world","Number","Personal reasons","4 nights or over","Slovenia","1,790,000",""
"2011","All countries of the world","Number","Professional, business","1 night or over","Croatia",":",""
"2011","All countries of the world","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","All countries of the world","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","All countries of the world","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","All countries of the world","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","All countries of the world","Number","Professional, business","4 nights or over","Slovenia",":",""
"2012","Europe","Number","Total","1 night or over","Croatia","8,631,570",""
"2012","Europe","Number","Total","1 night or over","Slovenia","4,473,269",""
"2012","Europe","Number","Total","From 1 to 3 nights","Croatia","5,127,948",""
"2012","Europe","Number","Total","From 1 to 3 nights","Slovenia","2,830,942",""
"2012","Europe","Number","Total","4 nights or over","Croatia","3,503,623",""
"2012","Europe","Number","Total","4 nights or over","Slovenia","1,642,327",""
"2012","Europe","Number","Personal reasons","1 night or over","Croatia","7,205,181",""
"2012","Europe","Number","Personal reasons","1 night or over","Slovenia","3,995,026",""
"2012","Europe","Number","Personal reasons","From 1 to 3 nights","Croatia","4,080,349",""
"2012","Europe","Number","Personal reasons","From 1 to 3 nights","Slovenia","2,490,441",""
"2012","Europe","Number","Personal reasons","4 nights or over","Croatia","3,124,832",""
"2012","Europe","Number","Personal reasons","4 nights or over","Slovenia","1,504,585",""
"2012","Europe","Number","Professional, business","1 night or over","Croatia","1,426,389",""
"2012","Europe","Number","Professional, business","1 night or over","Slovenia","478,242",""
"2012","Europe","Number","Professional, business","From 1 to 3 nights","Croatia","1,047,599",""
"2012","Europe","Number","Professional, business","From 1 to 3 nights","Slovenia","340,500",""
"2012","Europe","Number","Professional, business","4 nights or over","Croatia","378,790",""
"2012","Europe","Number","Professional, business","4 nights or over","Slovenia","137,742",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Croatia","291,852",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Slovenia","121,118",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Croatia","119,043","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Slovenia","83,565",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Croatia","172,809",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Slovenia","37,553","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Croatia","211,490",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Slovenia","44,871","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Croatia","82,328","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Slovenia","22,594","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Croatia","129,162",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Slovenia","22,277","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Croatia","80,363","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Slovenia","76,247",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Croatia",":","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Slovenia","60,971",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Croatia",":","u"
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Slovenia","15,277","u"
"2012","Croatia","Number","Total","1 night or over","Croatia","6,055,907",""
"2012","Croatia","Number","Total","1 night or over","Slovenia","1,351,357",""
"2012","Croatia","Number","Total","From 1 to 3 nights","Croatia","3,778,687",""
"2012","Croatia","Number","Total","From 1 to 3 nights","Slovenia","594,429",""
"2012","Croatia","Number","Total","4 nights or over","Croatia","2,277,220",""
"2012","Croatia","Number","Total","4 nights or over","Slovenia","756,928",""
"2012","Croatia","Number","Personal reasons","1 night or over","Croatia","5,111,093",""
"2012","Croatia","Number","Personal reasons","1 night or over","Slovenia","1,314,278",""
"2012","Croatia","Number","Personal reasons","From 1 to 3 nights","Croatia","3,028,091",""
"2012","Croatia","Number","Personal reasons","From 1 to 3 nights","Slovenia","566,958",""
"2012","Croatia","Number","Personal reasons","4 nights or over","Croatia","2,083,001",""
"2012","Croatia","Number","Personal reasons","4 nights or over","Slovenia","747,319",""
"2012","Croatia","Number","Professional, business","1 night or over","Croatia","944,814",""
"2012","Croatia","Number","Professional, business","1 night or over","Slovenia","37,079","u"
"2012","Croatia","Number","Professional, business","From 1 to 3 nights","Croatia","750,595",""
"2012","Croatia","Number","Professional, business","From 1 to 3 nights","Slovenia","27,470","u"
"2012","Croatia","Number","Professional, business","4 nights or over","Croatia","194,219",""
"2012","Croatia","Number","Professional, business","4 nights or over","Slovenia",":","u"
"2012","Italy","Number","Total","1 night or over","Croatia","288,164",""
"2012","Italy","Number","Total","1 night or over","Slovenia","151,500",""
"2012","Italy","Number","Total","From 1 to 3 nights","Croatia","140,550",""
"2012","Italy","Number","Total","From 1 to 3 nights","Slovenia","76,732",""
"2012","Italy","Number","Total","4 nights or over","Croatia","147,614",""
"2012","Italy","Number","Total","4 nights or over","Slovenia","74,768",""
"2012","Italy","Number","Personal reasons","1 night or over","Croatia","254,899",""
"2012","Italy","Number","Personal reasons","1 night or over","Slovenia","104,985",""
"2012","Italy","Number","Personal reasons","From 1 to 3 nights","Croatia","120,607",""
"2012","Italy","Number","Personal reasons","From 1 to 3 nights","Slovenia","42,621",""
"2012","Italy","Number","Personal reasons","4 nights or over","Croatia","134,292",""
"2012","Italy","Number","Personal reasons","4 nights or over","Slovenia","62,363",""
"2012","Italy","Number","Professional, business","1 night or over","Croatia","33,265","u"
"2012","Italy","Number","Professional, business","1 night or over","Slovenia","46,516","u"
"2012","Italy","Number","Professional, business","From 1 to 3 nights","Croatia",":","u"
"2012","Italy","Number","Professional, business","From 1 to 3 nights","Slovenia","34,111","u"
"2012","Italy","Number","Professional, business","4 nights or over","Croatia",":","u"
"2012","Italy","Number","Professional, business","4 nights or over","Slovenia",":","u"
"2012","Slovenia","Number","Total","1 night or over","Croatia","268,231",""
"2012","Slovenia","Number","Total","1 night or over","Slovenia","2,064,610",""
"2012","Slovenia","Number","Total","From 1 to 3 nights","Croatia","180,984",""
"2012","Slovenia","Number","Total","From 1 to 3 nights","Slovenia","1,678,211",""
"2012","Slovenia","Number","Total","4 nights or over","Croatia","87,247","u"
"2012","Slovenia","Number","Total","4 nights or over","Slovenia","386,399",""
"2012","Slovenia","Number","Personal reasons","1 night or over","Croatia","231,082",""
"2012","Slovenia","Number","Personal reasons","1 night or over","Slovenia","1,974,899",""
"2012","Slovenia","Number","Personal reasons","From 1 to 3 nights","Croatia","149,461",""
"2012","Slovenia","Number","Personal reasons","From 1 to 3 nights","Slovenia","1,603,955",""
"2012","Slovenia","Number","Personal reasons","4 nights or over","Croatia","81,621","u"
"2012","Slovenia","Number","Personal reasons","4 nights or over","Slovenia","370,944",""
"2012","Slovenia","Number","Professional, business","1 night or over","Croatia",":","u"
"2012","Slovenia","Number","Professional, business","1 night or over","Slovenia","89,711",""
"2012","Slovenia","Number","Professional, business","From 1 to 3 nights","Croatia",":","u"
"2012","Slovenia","Number","Professional, business","From 1 to 3 nights","Slovenia","74,257",""
"2012","Slovenia","Number","Professional, business","4 nights or over","Croatia",":","u"
"2012","Slovenia","Number","Professional, business","4 nights or over","Slovenia",":","u"
"2012","All countries of the world","Number","Total","1 night or over","Croatia","8,736,711",""
"2012","All countries of the world","Number","Total","1 night or over","Slovenia","4,539,023",""
"2012","All countries of the world","Number","Total","From 1 to 3 nights","Croatia","5,135,685",""
"2012","All countries of the world","Number","Total","From 1 to 3 nights","Slovenia","2,832,616",""
"2012","All countries of the world","Number","Total","4 nights or over","Croatia","3,601,026",""
"2012","All countries of the world","Number","Total","4 nights or over","Slovenia","1,706,408",""
"2012","All countries of the world","Number","Personal reasons","1 night or over","Croatia","7,284,473",""
"2012","All countries of the world","Number","Personal reasons","1 night or over","Slovenia","4,054,317",""
"2012","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Croatia","4,082,385",""
"2012","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Slovenia","2,490,441",""
"2012","All countries of the world","Number","Personal reasons","4 nights or over","Croatia","3,202,089",""
"2012","All countries of the world","Number","Personal reasons","4 nights or over","Slovenia","1,563,876",""
"2012","All countries of the world","Number","Professional, business","1 night or over","Croatia","1,452,238",""
"2012","All countries of the world","Number","Professional, business","1 night or over","Slovenia","484,706",""
"2012","All countries of the world","Number","Professional, business","From 1 to 3 nights","Croatia","1,053,301",""
"2012","All countries of the world","Number","Professional, business","From 1 to 3 nights","Slovenia","342,174",""
"2012","All countries of the world","Number","Professional, business","4 nights or over","Croatia","398,937",""
"2012","All countries of the world","Number","Professional, business","4 nights or over","Slovenia","142,532",""
"2013","Europe","Number","Total","1 night or over","Croatia","8,987,137",""
"2013","Europe","Number","Total","1 night or over","Slovenia","4,566,096",""
"2013","Europe","Number","Total","From 1 to 3 nights","Croatia","5,150,302",""
"2013","Europe","Number","Total","From 1 to 3 nights","Slovenia","2,983,873",""
"2013","Europe","Number","Total","4 nights or over","Croatia","3,836,835",""
"2013","Europe","Number","Total","4 nights or over","Slovenia","1,582,223",""
"2013","Europe","Number","Personal reasons","1 night or over","Croatia","7,603,407",""
